Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100uF 16V","CP_Radial_D6.3mm_P2.50mm",18.000000,-55.000000,0.000000,top
"C2","100nF","C_0402_1005Metric",22.000000,-55.000000,0.000000,top
"C3","100nF","C_0402_1005Metric",42.000000,-12.000000,0.000000,top
"C4","100nF","C_0402_1005Metric",42.000000,-20.000000,0.000000,top
"C5","100nF","C_0402_1005Metric",42.000000,-28.000000,0.000000,top
"C6","100nF","C_0402_1005Metric",42.000000,-36.000000,0.000000,top
"C7","100nF","C_0402_1005Metric",62.000000,-12.000000,0.000000,top
"C8","100nF","C_0402_1005Metric",62.000000,-20.000000,0.000000,top
"C9","100nF","C_0402_1005Metric",62.000000,-28.000000,0.000000,top
"C10","100nF","C_0402_1005Metric",62.000000,-36.000000,0.000000,top
"C11","100nF","C_0402_1005Metric",82.000000,-12.000000,0.000000,top
"C12","100nF","C_0402_1005Metric",82.000000,-20.000000,0.000000,top
"C13","100nF","C_0402_1005Metric",82.000000,-28.000000,0.000000,top
"C14","100nF","C_0402_1005Metric",82.000000,-36.000000,0.000000,top
"C15","100nF","C_0402_1005Metric",42.000000,-44.000000,0.000000,top
"C16","100nF","C_0402_1005Metric",62.000000,-44.000000,0.000000,top
"C17","100nF","C_0402_1005Metric",82.000000,-44.000000,0.000000,top
"C18","100nF","C_0402_1005Metric",92.000000,-52.000000,0.000000,top
"D1","1N4148WS","D_SOD-323",38.000000,-14.000000,0.000000,top
"D2","1N4148WS","D_SOD-323",38.000000,-22.000000,0.000000,top
"D3","1N4148WS","D_SOD-323",38.000000,-30.000000,0.000000,top
"D4","1N4148WS","D_SOD-323",38.000000,-38.000000,0.000000,top
"D5","1N4148WS","D_SOD-323",58.000000,-14.000000,0.000000,top
"D6","1N4148WS","D_SOD-323",58.000000,-22.000000,0.000000,top
"D7","1N4148WS","D_SOD-323",58.000000,-30.000000,0.000000,top
"D8","1N4148WS","D_SOD-323",58.000000,-38.000000,0.000000,top
"D9","1N4148WS","D_SOD-323",78.000000,-14.000000,0.000000,top
"D10","1N4148WS","D_SOD-323",78.000000,-22.000000,0.000000,top
"D11","1N4148WS","D_SOD-323",78.000000,-30.000000,0.000000,top
"D12","1N4148WS","D_SOD-323",78.000000,-38.000000,0.000000,top
"D13","1N4148WS","D_SOD-323",38.000000,-46.000000,0.000000,top
"D14","1N4148WS","D_SOD-323",58.000000,-46.000000,0.000000,top
"D15","1N4148WS","D_SOD-323",78.000000,-46.000000,0.000000,top
"D16","1N4148WS","D_SOD-323",88.000000,-54.000000,0.000000,top
"J1","I2C_PWR_IN","JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical",5.000000,-10.000000,0.000000,top
"J2","M001","JST_SH_SM02B-SRSS-TB_1x02-1MP_P1.00mm_Horizontal",48.000000,-10.000000,0.000000,top
"J3","M002","JST_SH_SM02B-SRSS-TB_1x02-1MP_P1.00mm_Horizontal",48.000000,-18.000000,0.000000,top
"J4","M003","JST_SH_SM02B-SRSS-TB_1x02-1MP_P1.00mm_Horizontal",48.000000,-26.000000,0.000000,top
"J5","M004","JST_SH_SM02B-SRSS-TB_1x02-1MP_P1.00mm_Horizontal",48.000000,-34.000000,0.000000,top
"J6","M005","JST_SH_SM02B-SRSS-TB_1x02-1MP_P1.00mm_Horizontal",68.000000,-10.000000,0.000000,top
"J7","M006","JST_SH_SM02B-SRSS-TB_1x02-1MP_P1.00mm_Horizontal",68.000000,-18.000000,0.000000,top
"J8","M007","JST_SH_SM02B-SRSS-TB_1x02-1MP_P1.00mm_Horizontal",68.000000,-26.000000,0.000000,top
"J9","M008","JST_SH_SM02B-SRSS-TB_1x02-1MP_P1.00mm_Horizontal",68.000000,-34.000000,0.000000,top
"J10","M009","JST_SH_SM02B-SRSS-TB_1x02-1MP_P1.00mm_Horizontal",88.000000,-10.000000,0.000000,top
"J11","M010","JST_SH_SM02B-SRSS-TB_1x02-1MP_P1.00mm_Horizontal",88.000000,-18.000000,0.000000,top
"J12","M011","JST_SH_SM02B-SRSS-TB_1x02-1MP_P1.00mm_Horizontal",88.000000,-26.000000,0.000000,top
"J13","M012","JST_SH_SM02B-SRSS-TB_1x02-1MP_P1.00mm_Horizontal",88.000000,-34.000000,0.000000,top
"J14","M013","JST_SH_SM02B-SRSS-TB_1x02-1MP_P1.00mm_Horizontal",48.000000,-42.000000,0.000000,top
"J15","M014","JST_SH_SM02B-SRSS-TB_1x02-1MP_P1.00mm_Horizontal",68.000000,-42.000000,0.000000,top
"J16","M015","JST_SH_SM02B-SRSS-TB_1x02-1MP_P1.00mm_Horizontal",88.000000,-42.000000,0.000000,top
"J17","M016","JST_SH_SM02B-SRSS-TB_1x02-1MP_P1.00mm_Horizontal",97.000000,-50.000000,0.000000,top
"Q1","AO3400A","SOT-23",38.000000,-10.000000,0.000000,top
"Q2","AO3400A","SOT-23",38.000000,-18.000000,0.000000,top
"Q3","AO3400A","SOT-23",38.000000,-26.000000,0.000000,top
"Q4","AO3400A","SOT-23",38.000000,-34.000000,0.000000,top
"Q5","AO3400A","SOT-23",58.000000,-10.000000,0.000000,top
"Q6","AO3400A","SOT-23",58.000000,-18.000000,0.000000,top
"Q7","AO3400A","SOT-23",58.000000,-26.000000,0.000000,top
"Q8","AO3400A","SOT-23",58.000000,-34.000000,0.000000,top
"Q9","AO3400A","SOT-23",78.000000,-10.000000,0.000000,top
"Q10","AO3400A","SOT-23",78.000000,-18.000000,0.000000,top
"Q11","AO3400A","SOT-23",78.000000,-26.000000,0.000000,top
"Q12","AO3400A","SOT-23",78.000000,-34.000000,0.000000,top
"Q13","AO3400A","SOT-23",38.000000,-42.000000,0.000000,top
"Q14","AO3400A","SOT-23",58.000000,-42.000000,0.000000,top
"Q15","AO3400A","SOT-23",78.000000,-42.000000,0.000000,top
"Q16","AO3400A","SOT-23",88.000000,-50.000000,0.000000,top
"R1","220R","R_0402_1005Metric",33.000000,-10.000000,0.000000,top
"R2","220R","R_0402_1005Metric",33.000000,-18.000000,0.000000,top
"R3","220R","R_0402_1005Metric",33.000000,-26.000000,0.000000,top
"R4","220R","R_0402_1005Metric",33.000000,-34.000000,0.000000,top
"R5","220R","R_0402_1005Metric",53.000000,-10.000000,0.000000,top
"R6","220R","R_0402_1005Metric",53.000000,-18.000000,0.000000,top
"R7","220R","R_0402_1005Metric",53.000000,-26.000000,0.000000,top
"R8","220R","R_0402_1005Metric",53.000000,-34.000000,0.000000,top
"R9","220R","R_0402_1005Metric",73.000000,-10.000000,0.000000,top
"R10","220R","R_0402_1005Metric",73.000000,-18.000000,0.000000,top
"R11","220R","R_0402_1005Metric",73.000000,-26.000000,0.000000,top
"R12","220R","R_0402_1005Metric",73.000000,-34.000000,0.000000,top
"R13","220R","R_0402_1005Metric",33.000000,-42.000000,0.000000,top
"R14","220R","R_0402_1005Metric",53.000000,-42.000000,0.000000,top
"R15","220R","R_0402_1005Metric",73.000000,-42.000000,0.000000,top
"R16","220R","R_0402_1005Metric",83.000000,-50.000000,0.000000,top
"U1","PCA9685","TSSOP-28_4.4x9.7mm_P0.65mm",18.000000,-35.000000,0.000000,top
